date_time,tmp_f_KDFW,north_load
2017-01-01 00:00:00-06:00,48,9961.62
2017-01-01 01:00:00-06:00,47.3,9813.99
2017-01-01 02:00:00-06:00,46.4,9677.13
2017-01-01 03:00:00-06:00,45.4,9633.69
2017-01-01 04:00:00-06:00,43.9,9661.48
2017-01-01 05:00:00-06:00,46.8,9777.1
2017-01-01 06:00:00-06:00,46.4,10083.87
2017-01-01 07:00:00-06:00,46,10472.61
2017-01-01 08:00:00-06:00,46.9,10834.67
2017-01-01 09:00:00-06:00,48.9,11236.92
2017-01-01 10:00:00-06:00,49.9,11410.61
2017-01-01 11:00:00-06:00,54.7,11370.84
2017-01-01 12:00:00-06:00,59.2,11185.12
2017-01-01 13:00:00-06:00,61.7,10886.34
2017-01-01 14:00:00-06:00,63.2,10600.26
2017-01-01 15:00:00-06:00,64,10477.93
2017-01-01 16:00:00-06:00,64,10466.95
2017-01-01 17:00:00-06:00,61.7,11016.02
2017-01-01 18:00:00-06:00,58.9,11716.47
2017-01-01 19:00:00-06:00,57.4,11637.71
2017-01-01 20:00:00-06:00,57,11397.14
2017-01-01 21:00:00-06:00,58.7,11095.13
2017-01-01 22:00:00-06:00,61.6,10552.14
2017-01-01 23:00:00-06:00,61.7,9920.56
2017-01-02 00:00:00-06:00,62.6,9291.11
2017-01-02 01:00:00-06:00,63,8883.32
2017-01-02 02:00:00-06:00,63,8635.96
2017-01-02 03:00:00-06:00,63,8563.61
2017-01-02 04:00:00-06:00,62.8,8689.42
2017-01-02 05:00:00-06:00,58.5,9024.89
2017-01-02 06:00:00-06:00,57.5,9571.14
2017-01-02 07:00:00-06:00,55.8,9984.98
2017-01-02 08:00:00-06:00,56.2,10374.29
2017-01-02 09:00:00-06:00,59.2,10865.6
2017-01-02 10:00:00-06:00,62.8,11235.65
2017-01-02 11:00:00-06:00,65.7,11446.18
2017-01-02 12:00:00-06:00,68.6,11504.14
2017-01-02 13:00:00-06:00,71.2,11517.51
2017-01-02 14:00:00-06:00,72,11516.56
2017-01-02 15:00:00-06:00,72,11513.49
2017-01-02 16:00:00-06:00,70.8,11543.44
